pair_id,context_id,title_a,title_b,track_id_a,track_id_b,track_a_source_path,track_b_source_path,engine_decision_class,engine_recommendation_policy,engine_score,engine_confidence,engine_strategy,engine_blend_profile_auto,engine_blend_profile_explanation,engine_alternative_strategies,engine_standard_blend_allowed,engine_tempo_gate,engine_harmonic_gate,engine_tempo_feasibility,engine_tempo_relation,engine_harmonic_relation,engine_context_fit,engine_bass_conflict_risk,engine_vocal_clash_risk,engine_window_a_id,engine_window_a_type,engine_window_a(mm:ss),engine_window_b_id,engine_window_b_type,engine_window_b(mm:ss),engine_pair_window_a(mm:ss),engine_pair_window_b(mm:ss),engine_pair_score,engine_compatible_contexts,engine_policy_reasons,engine_risks,engine_warnings,dj_verdict(accept/review/reject),dj_mixability_rating,dj_transition_strategy,dj_comment
06987e170b8722e1__deb940c4a6052fed,,BRUX (AUS) - Pull The Trigger (Original Mix),Jorg Kuning - Mercedes (Original Mix),06987e170b8722e1,deb940c4a6052fed,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Jorg Kuning - Mercedes (Original Mix).mp3,review_required,review_only,0.6188,0.69,phrase_aligned_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.51 favors a deliberate low-end handoff.,short_blend;echo_out,True,pass,review,medium,direct,unknown,,0.509,0.2641,06987e170b8722e1_tw3,mix_out,2:50-3:06,deb940c4a6052fed_tw1,mix_in,0:03-0:19,2:50-3:06,0:03-0:19,1.7138,,harmonic risk 0.58 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.51);harmonic risk 0.58 — unknown key move;harmonic risk 0.58 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;tempo gap is above easy-blend range — keep the overlap disciplined",,,,
06987e170b8722e1__e3b089eb3589fe94,,BRUX (AUS) - Pull The Trigger (Original Mix),Muskila - YARAO (Original Mix),06987e170b8722e1,e3b089eb3589fe94,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Muskila - YARAO (Original Mix).mp3,review_required,review_only,0.6757,0.69,short_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.51 favors a deliberate low-end handoff.,phrase_aligned_blend;standard_blend,True,pass,review,high,direct,unknown,,0.509,0.1605,06987e170b8722e1_tw3,mix_out,2:50-3:06,e3b089eb3589fe94_tw2,mix_in,0:00-0:16,2:50-3:06,0:00-0:16,1.7483,,harmonic risk 0.55 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.51);harmonic risk 0.55 — unknown key move;harmonic risk 0.55 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
06987e170b8722e1__ecf64aa98ccd4467,,BRUX (AUS) - Pull The Trigger (Original Mix),Bicep - CHROMA 004 ROLA (Original Mix),06987e170b8722e1,ecf64aa98ccd4467,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Bicep - CHROMA 004 ROLA (Original Mix).mp3,reject_standard_blend,suppress,0.5273,0.62,hard_cut,plain_blend,Auto mode falls back to plain blend because the engine prefers hard cut over a standard overlap.,echo_out,False,fail,review,low,direct,unknown,,0.509,0.2477,06987e170b8722e1_tw3,mix_out,2:50-3:06,ecf64aa98ccd4467_tw2,mix_in,0:00-0:09,2:50-3:06,0:00-0:09,1.6371,,extreme BPM jump 32.7% breaches the shared hard limit;harmonic risk 0.58 needs masking or careful transition timing;shared hard block triggered recommendation suppression,moderate bass conflict (0.51);harmonic risk 0.58 — unknown key move;extreme BPM jump 32.7% breaches the shared hard limit;harmonic risk 0.58 needs masking or careful transition timing;tempo gate failed — reject standard blend;shared pair rules triggered a hard block for standard blending,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;extreme BPM jump — reject standard blend; shared rules suggest a non-standard exit",,,,
06987e170b8722e1__fea8b371ffd2adc5,,BRUX (AUS) - Pull The Trigger (Original Mix),Povoa - Hacked Lime (Original Mix),06987e170b8722e1,fea8b371ffd2adc5,data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,data/raw/Povoa - Hacked Lime (Original Mix).mp3,non_standard_strategy_required,review_only,0.6098,0.69,tempo_ramp,plain_blend,Auto mode falls back to plain blend because the engine prefers tempo ramp over a standard overlap.,echo_out;break_transition;hard_cut,False,strategy_dependent,review,medium,direct,unknown,,0.4808,0.2431,06987e170b8722e1_tw3,mix_out,2:50-3:06,fea8b371ffd2adc5_tw2,mix_in,0:08-0:24,2:50-3:06,0:08-0:24,1.5954,club_peak,effective BPM gap 7.5% needs a non-standard tempo strategy;harmonic risk 0.59 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.48);harmonic risk 0.59 — unknown key move;effective BPM gap 7.5% needs a non-standard tempo strategy;harmonic risk 0.59 needs masking or careful transition timing;tempo relation requires a non-standard transition strategy,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;standard blend is risky at this BPM gap — non-standard strategy preferred; shared rules suggest a non-standard exit",,,,
0b6db038bbd47b93__06987e170b8722e1,,"Fold, cu.rve - Business (Original Mix)",BRUX (AUS) - Pull The Trigger (Original Mix),0b6db038bbd47b93,06987e170b8722e1,"data/raw/Fold, cu.rve - Business (Original Mix).mp3",data/raw/BRUX (AUS) - Pull The Trigger (Original Mix).mp3,review_required,review_only,0.7037,0.69,standard_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.49 favors a deliberate low-end handoff.,phrase_aligned_blend;short_blend,True,pass,review,high,direct,unknown,,0.4893,0.3348,0b6db038bbd47b93_tw1,bridge,2:11-2:27,06987e170b8722e1_tw2,mix_in,0:00-0:13,2:11-2:27,0:00-0:13,1.8788,club_opening;festival_daytime,harmonic risk 0.60 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.49);harmonic risk 0.60 — unknown key move;harmonic risk 0.60 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
0b6db038bbd47b93__0d74f481c29d23c7,,"Fold, cu.rve - Business (Original Mix)",Butch - Schlecker (Original Mix),0b6db038bbd47b93,0d74f481c29d23c7,"data/raw/Fold, cu.rve - Business (Original Mix).mp3",data/raw/Butch - Schlecker (Original Mix).mp3,reject_standard_blend,suppress,0.5997,0.69,tempo_ramp,plain_blend,Auto mode falls back to plain blend because the engine prefers tempo ramp over a standard overlap.,echo_out;break_transition;hard_cut,False,strategy_dependent,fail,medium,direct,risky,,0.398,0.348,0b6db038bbd47b93_tw1,bridge,2:11-2:27,0d74f481c29d23c7_tw1,mix_out,6:12-6:22,2:11-2:27,6:12-6:22,1.893,club_closing;club_opening;club_peak;festival_daytime,effective BPM gap 9.8% needs a non-standard tempo strategy;harmonic clash risk 0.84 breaches the shared hard limit;shared hard block triggered recommendation suppression,harmonic risk 0.84 — risky key move;effective BPM gap 9.8% needs a non-standard tempo strategy;harmonic clash risk 0.84 breaches the shared hard limit;tempo relation requires a non-standard transition strategy;harmonic gate failed — exposed key clash risk;shared pair rules triggered a hard block for standard blending,"style fit unavailable (missing style labels) — neutral;risky key relation, but low harmonic exposure may mask it;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;standard blend is risky at this BPM gap — non-standard strategy preferred; shared rules suggest a non-standard exit",,,,
0b6db038bbd47b93__4056c8ee53cfb090,,"Fold, cu.rve - Business (Original Mix)","Oscar Farrell, Mount XLR - Mod Break (Original Mix)",0b6db038bbd47b93,4056c8ee53cfb090,"data/raw/Fold, cu.rve - Business (Original Mix).mp3","data/raw/Oscar Farrell, Mount XLR - Mod Break (Original Mix).mp3",reject_standard_blend,suppress,0.632,0.69,echo_out,plain_blend,Auto mode falls back to plain blend because the engine prefers echo out over a standard overlap.,short_blend;hard_cut,False,pass,fail,medium,direct,risky,,0.4893,0.2867,0b6db038bbd47b93_tw1,bridge,2:11-2:27,4056c8ee53cfb090_tw1,mix_in,1:20-1:36,2:11-2:27,1:20-1:36,2.0607,club_closing;club_opening;club_peak;festival_daytime,harmonic clash risk 0.81 breaches the shared hard limit;shared hard block triggered recommendation suppression,moderate bass conflict (0.49);harmonic risk 0.81 — risky key move;harmonic clash risk 0.81 breaches the shared hard limit;harmonic gate failed — exposed key clash risk;shared pair rules triggered a hard block for standard blending,"style fit unavailable (missing style labels) — neutral;risky key relation, but low harmonic exposure may mask it;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;tempo gap is above easy-blend range — keep the overlap disciplined; shared rules suggest a non-standard exit",,,,
0b6db038bbd47b93__48c18f8c79fc588e,,"Fold, cu.rve - Business (Original Mix)","Mala, Magugu - Militant Don (Vocal)",0b6db038bbd47b93,48c18f8c79fc588e,"data/raw/Fold, cu.rve - Business (Original Mix).mp3","data/raw/Mala, Magugu - Militant Don (Vocal).mp3",reject_standard_blend,suppress,0.6844,0.69,echo_out,plain_blend,Auto mode falls back to plain blend because the engine prefers echo out over a standard overlap.,phrase_aligned_blend;short_blend;hard_cut,False,pass,fail,high,direct,risky,,0.4893,0.2722,0b6db038bbd47b93_tw1,bridge,2:11-2:27,48c18f8c79fc588e_tw1,mix_in,0:16-0:32,2:11-2:27,0:16-0:32,1.9202,club_opening;festival_daytime,harmonic clash risk 0.81 breaches the shared hard limit;shared hard block triggered recommendation suppression,moderate bass conflict (0.49);harmonic risk 0.81 — risky key move;harmonic clash risk 0.81 breaches the shared hard limit;harmonic gate failed — exposed key clash risk;shared pair rules triggered a hard block for standard blending,"style fit unavailable (missing style labels) — neutral;risky key relation, but low harmonic exposure may mask it;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;shared rules suggest a non-standard exit instead of a standard blend",,,,
0b6db038bbd47b93__76609e489f01f9de,,"Fold, cu.rve - Business (Original Mix)",Rohaan - Got No _3 (Original Mix),0b6db038bbd47b93,76609e489f01f9de,"data/raw/Fold, cu.rve - Business (Original Mix).mp3",data/raw/Rohaan - Got No _3 (Original Mix).mp3,review_required,review_only,0.6951,0.69,standard_blend,bass_swap,Auto mode selects bass swap because bass conflict risk 0.46 favors a deliberate low-end handoff.,phrase_aligned_blend;short_blend,True,pass,review,high,direct,unknown,,0.4604,0.348,0b6db038bbd47b93_tw1,bridge,2:11-2:27,76609e489f01f9de_tw1,bridge,1:31-1:47,2:11-2:27,1:31-1:47,1.777,club_closing;club_opening;club_peak;festival_daytime,harmonic risk 0.63 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.46);harmonic risk 0.63 — unknown key move;harmonic risk 0.63 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable",,,,
0b6db038bbd47b93__79d93a2a256d0920,,"Fold, cu.rve - Business (Original Mix)",Bodhi - Thirst (Original Mix),0b6db038bbd47b93,79d93a2a256d0920,"data/raw/Fold, cu.rve - Business (Original Mix).mp3",data/raw/Bodhi - Thirst (Original Mix).mp3,reject_standard_blend,suppress,0.6675,0.69,echo_out,plain_blend,Auto mode falls back to plain blend because the engine prefers echo out over a standard overlap.,phrase_aligned_blend;standard_blend;hard_cut,False,pass,fail,high,direct,risky,,0.4016,0.3472,0b6db038bbd47b93_tw1,bridge,2:11-2:27,79d93a2a256d0920_tw1,mix_in,0:59-1:15,2:11-2:27,0:59-1:15,1.998,club_opening;club_peak;festival_daytime,harmonic clash risk 0.84 breaches the shared hard limit;shared hard block triggered recommendation suppression,moderate bass conflict (0.40);harmonic risk 0.84 — risky key move;harmonic clash risk 0.84 breaches the shared hard limit;harmonic gate failed — exposed key clash risk;shared pair rules triggered a hard block for standard blending,"style fit unavailable (missing style labels) — neutral;risky key relation, but low harmonic exposure may mask it;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;shared rules suggest a non-standard exit instead of a standard blend",,,,
0b6db038bbd47b93__85d8116989ea2f32,,"Fold, cu.rve - Business (Original Mix)",O_Flynn - Srekye (Extended Mix),0b6db038bbd47b93,85d8116989ea2f32,"data/raw/Fold, cu.rve - Business (Original Mix).mp3",data/raw/O_Flynn - Srekye (Extended Mix).mp3,review_required,review_only,0.6061,0.69,phrase_aligned_blend,contour_blend,Auto mode selects contour blend because vocal or mid exposure 0.35 favors a shaped overlap.,short_blend;echo_out,True,pass,review,medium,direct,unknown,,0.418,0.348,0b6db038bbd47b93_tw1,bridge,2:11-2:27,85d8116989ea2f32_tw2,mix_in,0:08-0:24,2:11-2:27,0:08-0:24,1.8606,club_closing;club_opening;club_peak;festival_daytime,harmonic risk 0.64 needs masking or careful transition timing;shared rules require manual review,moderate bass conflict (0.42);harmonic risk 0.64 — unknown key move;harmonic risk 0.64 needs masking or careful transition timing,"style fit unavailable (missing style labels) — neutral;low key confidence — verify key before trusting harmonic result;context fit unavailable (no context profile) — neutral;no context profile — role/fit is context-free;not DJ-validated — output is a candidate estimate, not ground truth;conflicting descriptors — interpretation is unstable;tempo gap is above easy-blend range — keep the overlap disciplined",,,,
