title,track_id,engine_primary,engine_secondary,engine_conf,engine_risk,dj_primary,dj_comment
COIDO - Little Snitch (Original Mix),d428a30a73139723,builder,bridge,0.23,0.57,,
Cameo Blush - Crimson Arch (Original Mix),c81191256a6aa417,builder,bridge,0.27,0.47,,
Caribou - Honey,57cd3e8df4537914,builder,,0.26,0.45,,
Chef Boyarbeatz - Steady Slurkin_ (Original Mix),d300cfc8f6312a24,builder,bridge,0.22,0.65,,
Dam Swindle - That’s Right,3d611156fd542249,bridge,builder,0.23,0.52,,
"Daniel Avery, Cecile Believe - Rapture in Blue (Midnight Version)",3e6208672e0485b5,bridge,builder,0.23,0.55,,
Daniel Trim - Eats Everything - Fries With That- (Unmixed) - 11 Asimo (Original Mix),21d744964a6774f3,bridge,builder,0.21,0.57,,
Danny Goliger - Gimme That  (Original Mix),2fa9de8027e4a382,builder,bridge,0.26,0.48,,
Daphni - Clap Your Hands - 01 Clap Your Hands,5cc8264436c2eb1e,bridge,,0.23,0.49,,
Daphni - Good Night Baby (Aasthma Remix),ce66514e6e300792,bridge,builder,0.21,0.63,,
Daphni - Waiting So Long (Original Mix),8ab439f2c2b281d0,builder,bridge,0.27,0.5,,
"Daphni, Sofia Kourtesis - Unidos (Original Mix)",d7bae3ec9c83e78a,builder,bridge,0.24,0.61,,
"David Amo, Julio Navas, Gustavo Bravetti - Raw (Tony Romera Extended Mix)",7358dedc5f1a9322,builder,bridge,0.26,0.48,,
Decius - Eats Everything - Fries With That- (Unmixed) - 14 Gay Futures (Original Mix),7e5227c1d5b338fa,bridge,,0.21,0.49,,
Dj Babatr - Sunshine Tribe (Original Mix),aa378f947b154170,bridge,builder,0.21,0.69,,
Djaimin - Eats Everything - Fries With That- (Unmixed) - 18 Open The Door (DJ Shorty Zanzibar Stomper Mix),fe1af1ff9b988eca,bridge,peak,0.21,0.61,,
"Dombresky, Disco Dom - Funky Flights (Original Mix)",fc7cc7ac938be062,bridge,builder,0.23,0.53,,
Doug Lazy - Eats Everything - Fries With That- (Unmixed) - 23 Rollin On (SPS Dub),756509b9e122b941,builder,,0.27,0.45,,
Drone - Burnt Lungs (Original Mix),8f72ad75222d3b5b,builder,bridge,0.25,0.51,,
Duckett - Punch And Judy  (Original Mix),287369d05fb2027c,bridge,,0.24,0.26,,
"Eksman, Hedex - Rowdy (BLAOW!) (Extended Mix)",ab6eebe87077ab96,builder,,0.26,0.42,,
En_vy - Alert (Original Mix),e6414218a818b4ab,builder,,0.24,0.47,,
Era4 - Arriba (Original Mix),f805ef4d4d90c8bf,builder,,0.26,0.37,,
Falle Nioke - Heaviness (Hagop Tchaparian remix),2fffae9d1d113823,bridge,,0.23,0.32,,
Fela Kuti - Roforofo Fight (Dominic Dawson Re-Versions) - 01 Roforofo Fight Part#1 (Dominic Dawson Re-Version),9575b91f3951c4e4,bridge,,0.22,0.43,,
Fela Kuti - Roforofo Fight (Dominic Dawson Re-Versions) - 02 Roforofo Fight Part#2 (Dominic Dawson Re-Version),a600a9f13378d321,bridge,,0.22,0.52,,
Flava D - Dem Not Ready (Original Mix),1bab7610136f7d84,builder,bridge,0.23,0.62,,
"Flava D, Stush - Energy (Original Mix)",62431fe290e91588,builder,,0.26,0.45,,
Floating Points - Del Oro - 01 Del Oro,80d2a7a4f985ae3b,bridge,builder,0.22,0.61,,
Floating Points - Last Bloom,c07a1f388bf5853e,builder,bridge,0.25,0.53,,
Floating Points - LesAlpx (Original Mix),37096dfd26be7a8a,bridge,,0.23,0.47,,
Flux Mode - Eats Everything - Fries With That- (Unmixed) - 02 Tumba (Original Mix),c3abd360fa0cbee5,bridge,,0.22,0.39,,
"Fold, cu.rve - Business (Original Mix)",0b6db038bbd47b93,builder,bridge,0.26,0.47,,
"Fred again.., Wallfacer - I Luv U (Original Mix)",44c127693d639e78,bridge,,0.22,0.44,,
G-Man - Eats Everything - Fries With That- (Unmixed) - 21 Quo Vadis (Original Mix),02448280c5e367a9,builder,bridge,0.25,0.5,,
"Gabe, Marco Strous - Snogo (Extended Mix)",be8d559256280587,builder,bridge,0.25,0.54,,
"General Levy, M-Beat, Isgwan - Incredible Dub (Extended Mix)",afd80297c8c3925d,builder,bridge,0.22,0.68,,
"Gentlemens Club, Zoey808 - DADADA (Original Mix)",8508a942f47185b9,builder,,0.26,0.38,,
Gin Tonic Orchestra - Nuits Sonores (Rework),86f8b181ca6211dc,builder,bridge,0.24,0.58,,
Groovboy - Body Now (Original Mix),7072dc6bde1cafe6,peak,bridge,0.23,0.59,,
HAAi - CHONKIBOI (Original Mix),e296a5e39a01595d,bridge,,0.23,0.32,,
Harba - Despair,e3a4ed7a200c3644,bridge,peak,0.21,0.58,,
Hassan Abou Alam - Mahzooz,b465d15e3ede7cf9,builder,,0.26,0.44,,
Herbert - Eats Everything - Fries With That- (Unmixed) - 06 Got To Be Movin’ (On The Dancefloor),5a21dd5e5816f3c0,builder,,0.26,0.45,,
Hodge - Wiggler,164171f1b558d7a6,bridge,builder,0.21,0.68,,
"Inez, Malugi - Chiggy Chiggy (Rohaan Extended Remix)",1cf8d2e2dd56e261,bridge,builder,0.22,0.57,,
JD. REID - smoke (Original Mix),4f0008ba9513c887,builder,bridge,0.24,0.61,,
JIALING - BIG J FALLS (Original Mix),5f13fb29f62de7d7,builder,,0.26,0.42,,
JIALING - MELTING POINT 溶點,ff8c6eb5eba2c1af,bridge,,0.23,0.33,,
JLZ - DZ7 (Original Mix),725965c3dca2b629,builder,bridge,0.21,0.67,,
Jacques Greene - Believe,00809f86dbe56e4a,builder,bridge,0.26,0.48,,
Jacques Greene - I Won_t (Original Mix),f5b74b1b1c122379,builder,,0.26,0.45,,
Jamie xx - Breather,8f454dfda330b180,bridge,builder,0.22,0.53,,
Janek,63a1edef3ba63e91,bridge,builder,0.23,0.67,,
Jasmin - Bite the Hand (Original Mix),b8b027294beb4333,builder,bridge,0.24,0.61,,
Jasper Tygner - Before Me (Original Mix),f9b29abcde09b664,builder,bridge,0.23,0.55,,
Jaymie Silk - Illegal Love,dc6891546f59de66,bridge,,0.23,0.45,,
Jeigo - Act Like You're Strong,db80e3d15af9b0ca,bridge,builder,0.22,0.69,,
Joeski - Eats Everything - Fries With That- (Unmixed) - 05 Mind Body & Soul (Original Mix),ab0f9bb2f274ad0a,bridge,,0.23,0.39,,
Jorg Kuning - Mercedes (Original Mix),deb940c4a6052fed,bridge,peak;builder,0.21,0.57,,
Jose Nunez - Eats Everything - Fries With That- (Unmixed) - 25 Mama Love (Original Mix),9b443dd40567806f,bridge,builder,0.22,0.68,,
Josi Devil - No More (Original Mix),f08ba1505284f729,bridge,builder,0.22,0.64,,
Josi Devil - Restless Sleep (Original Mix),9de6eb5937802aa9,builder,,0.26,0.43,,
Jump - Eats Everything - Fries With That- (Unmixed) - 19 Funkatarium,612e5265f77f3dd5,bridge,peak,0.21,0.54,,
KC Lights - SOL (Extended Mix),25782ae9fb75384d,builder,bridge,0.25,0.55,,
"Kettama, Fred again.., SICARIA, Shady Nasty, Lou Nour - HARDSTYLE 2 (Lou Nour remix)",3ba9575fff775149,builder,,0.26,0.45,,
"Kettama, Fred again.., Shady Nasty - HARDSTYLE 2 (Original Mix)",57343231accc2778,builder,,0.27,0.45,,
Kingpin Cartel - Eats Everything - Fries With That- (Unmixed) - 15 Ghetto (Original Mix),8ef8e88cdd29e91b,bridge,,0.22,0.49,,
Korda - Eats Everything - Fries With That- (Unmixed) - 16 Move Your Body (To The Sound),80535776ec552d6f,builder,,0.26,0.44,,
LEVOS - Focus,f481bebf7535c8f7,bridge,builder,0.23,0.62,,
"Lee Foss, paskman - Tuko Tuko (Original Mix)",646ab0154b86f1a0,bridge,,0.22,0.47,,
MPH - Raw (Extended Mix),bc3463acedb7aecc,builder,bridge,0.24,0.58,,
MPH - Until The Morning (Extended Mix),7f2b5d0401d7bf34,builder,,0.28,0.35,,
"Mala, Magugu - Militant Don (Vocal)",48c18f8c79fc588e,builder,,0.26,0.42,,
Mambo - Eats Everything - Fries With That- (Unmixed) - 26 Do You Want Me (Mudmens Dirty Mix),18dad16a0e460cd9,builder,bridge,0.26,0.46,,
Marco Strous - In the Park (Extended Mix),fed70adc46593310,builder,bridge,0.27,0.46,,
Mercy System - If I Were You (Original Mix),8cca38ec6bf201a7,bridge,builder,0.22,0.69,,
Mercy System - Steppers Arc (Original Mix),53726259f984e5e3,builder,bridge,0.22,0.69,,
Morpei - Without Your Love (Original Mix),931d69e6d08baacf,bridge,builder,0.23,0.56,,
Mr. G - Eats Everything - Fries With That- (Unmixed) - 12 Mangos In Season (Original Mix),964d5a6ac21b496a,builder,bridge,0.22,0.68,,
Muskila - YARAO (Original Mix),e3b089eb3589fe94,bridge,peak,0.21,0.58,,
NIGHT manoeuvres - Resurge (Extended),5d1137f04b8c5322,bridge,builder,0.22,0.68,,
Neville Watson - Eats Everything - Fries With That- (Unmixed) - 01 Red Light Fever (Original Mix),940faa7411f630db,bridge,builder,0.21,0.54,,
Nikola Gala - Eats Everything - Fries With That- (Unmixed) - 08 The Phunk (Original Mix),ba8beee6c3a4b7c8,peak,bridge;builder,0.21,0.68,,
O'Flynn - Kola,624359df953597f4,bridge,,0.24,0.22,,
O'Flynn - Medjool,a2e9371e46357a7f,builder,bridge,0.24,0.57,,
O'Flynn - Sekete (ft. Swordman Kitala),40eca9dcf341a19c,builder,bridge,0.23,0.61,,
O_Flynn - Srekye (Extended Mix),85d8116989ea2f32,builder,bridge,0.24,0.57,,
Odd Language - Glory (Original Mix),2c8a47f5082f7c66,builder,,0.25,0.48,,
"Olof Dreijer, Diva Cruz - Acuyuye (Original Mix)",27ab0b36bb191ca1,bridge,peak,0.21,0.56,,
Oscar Farrell - Burning From -with Goya Gumbani-,efa720dc4e9d2d5a,bridge,builder,0.21,0.67,,
"Oscar Farrell, Mount XLR - Mod Break (Original Mix)",4056c8ee53cfb090,builder,bridge,0.26,0.53,,
Oushe - Eats Everything - Fries With That- (Unmixed) - 09 Daveena (Original Mix),db1929d025c362cb,bridge,peak,0.21,0.64,,
Overmono - Lockup,99eb2f2299b886ba,bridge,builder,0.22,0.68,,
"Paul C, Manuel De La Mare, BAPP - Angra (Extended Mix)",1c3f6ec707aaea96,builder,bridge,0.24,0.62,,
Peach Discs - moodii - Topcat Cinema,adc1f7242f62c093,bridge,,0.22,0.5,,
"Pete Tong, AVG (IT) - Places & Spaces (Original Mix)",1aec4070460ed8d1,builder,bridge,0.23,0.64,,
"Pinky Ann Rihal, Turbotito, Ragz - Party Tonight (Rework) - 01 Party Tonight (Turbotito & Ragz Rework)",7b24d36e9e2b147c,builder,bridge,0.23,0.57,,
Ploy - When In Room (Original Mix),9db13da2e56636c3,builder,bridge,0.24,0.56,,
Povoa - Hacked Lime (Original Mix),fea8b371ffd2adc5,builder,bridge,0.26,0.47,,
Prozak - Shine (Original Mix),5e038d4395d0eef5,builder,bridge,0.26,0.5,,
Pugilist - Monument (Original Mix),8ab18f5f8a18b4e8,builder,bridge;peak,0.2,0.7,,
"RHR & Skrillex feat. Me Jesmay, Lucas Swatch - SYRINX",61bda80dcab3301a,builder,bridge,0.22,0.67,,
RHR - A2. RHR & LOGAN_OLM - DIAGONAL (Dub Mix),355bc390ba00e347,bridge,builder,0.22,0.53,,
"Rafiki (IN), Squidworks - Steps (Original Mix)",fd0711e06aad713c,builder,bridge,0.24,0.54,,
"Riko Dan, Tracey - Sex Life feat. Riko Dan (Original Mix)",327a552fbefca306,bridge,,0.21,0.47,,
Roberto - Eats Everything - Fries With That- (Unmixed) - 13 First Principles (Original Mix),264b575d95061f9e,peak,bridge,0.21,0.63,,
Robotman - Eats Everything - Fries With That- (Unmixed) - 22 Never (DBX Mix),f5fd0fe184e6d15d,bridge,,0.22,0.52,,
Rohaan - Got No _3 (Original Mix),76609e489f01f9de,builder,bridge,0.25,0.49,,
Ross from Friends - Life In A Mind (Original Mix),ee79e0454d048f4d,bridge,builder,0.23,0.57,,
S.W.A.T. - Eats Everything - Fries With That- (Unmixed) - 03 Rites Of Passage (Original Mix),6be78253825c240a,bridge,,0.23,0.5,,
"SICARIA, Lou Nour - BE THE GLITCH (Original Mix)",90d280b33f127dbb,builder,,0.26,0.41,,
"SVDKO, JiLLi - OBSESSION (Original Mix)",9235cd1f84af4e94,builder,,0.27,0.34,,
"Sammy Virji, Unknown T - Roads Roulette (Original Mix)",586f9cc80973e6af,builder,,0.26,0.43,,
Silcrow - BELLOWS (Original Mix),16c930edaf25cf93,builder,,0.26,0.43,,
Silcrow - future·sight (Original Mix),f7001c530a14962e,bridge,,0.23,0.46,,
Sister Zo - Marusa Drum (Original Mix),47331382a8ea0b63,bridge,peak,0.21,0.67,,
"Skrillex, Ahadadream, Priya Ragu - TAKA (Caribou Remix)",98d59277e58f1409,builder,bridge,0.24,0.62,,
"Skrillex, Ahadadream, Priya Ragu - TAKA (PEEKABOO Remix)",d74cadaf31aebb3b,bridge,,0.24,0.22,,
Stress - Eats Everything - Fries With That- (Unmixed) - 10 Stress (Original Mix),aeb3ade7658bd7d8,bridge,builder,0.23,0.6,,
Surusinghe - BAD GIRLS,25cfe00a50aefd65,bridge,builder,0.22,0.67,,
TMSV - Hangplant,47582a7274030690,builder,,0.27,0.43,,
"TSVI, Josi Devil - M.e.S (feat. TSVI) (feat. TSVI)",aaecfee7674ae3ed,builder,,0.26,0.47,,
The Creator Session - Eats Everything - Fries With That- (Unmixed) - 17 Body & Soul (Original MIx),da3eb276cc00a250,bridge,,0.23,0.48,,
The Kick Junkie - Eats Everything - Fries With That- (Unmixed) - 20 Kick It In (Wicked Mix),763a12ea0a76ccf0,bridge,builder,0.21,0.65,,
Throwing Snow - K9,d441b06042604641,builder,,0.26,0.43,,
Tiaro - Doing Something (feat. KRMA) (Original Mix),3d0f99b9263ff167,builder,bridge,0.22,0.66,,
Timelapse - Unfold (Original Mix),095d1b149c6c71ff,bridge,,0.22,0.49,,
Tom VR - FUNCTION VIP,fab2eafc2be59485,bridge,,0.23,0.28,,
Tusqavna - Eats Everything - Fries With That- (Unmixed) - 07 We Don't Know You (Silicone Soul Remix),14a9f350099a3770,bridge,peak,0.21,0.66,,
Underworld - Pearl's Girl (r18_for2026),983927e6c56cb365,bridge,,0.22,0.37,,
Underworld - Two Months Off (Tim Green Remix),7e7887a2bd2d7639,bridge,builder,0.23,0.69,,
Vincent Caira - Real Eyes,ba2213e153300c38,bridge,,0.22,0.48,,
"Waleed, Villager - Pig (Original Mix)",962866017893e29d,builder,,0.26,0.41,,
Warren Blake - The Race (Extended Mix),e321f36ecf5ded7e,bridge,builder,0.22,0.65,,
"Wost, Entranas - Selvática (Pangaea Remix)",4062eec86159a9d4,bridge,peak,0.21,0.67,,
YAANO - Cicada (Original Mix),81f4a2b033cc8abf,builder,,0.26,0.42,,
altrice - bda creature,00c73766d3b2d65d,bridge,builder,0.21,0.59,,
borne - For A Minute - 01 For A Minute,38a467ae6b8f788f,builder,,0.26,0.41,,
